target,text
15,trans people are mentally ill and should be treated
15,if a person is born with a penis they should have to use the mens room
15,"transition is a waste of time, money and resources"
15,theyre crazyit is not possible to feel like the opposite sex
15,"if a person transitions, and then gets fired for being trans or not allowed to transition, then they should have no legal recourse because transitioning is a choice"
15,"if you are still a supporter of the trans community after you educate yourself on the topic, i think you are a hypocrite."
15,all trans men are just women who want to have sex with straight men. there is a reason they are attracted to cis men
15,"i support anything that allows us to fire trans people and to not hire them, and lets the rest of society discriminate against them when they walk down the street"
15,the reason that trans women are so aggressive is because they have a penis and they are trying to assert themselves as real women
15,please be aware that the trans community is responsible for a lot of the sex trafficking that happens
15,"while i acknowledge that trans people experience a lot of discrimination and i think that discrimination is wrong, but i also think that its wrong to transition"
15,"you cannot be born in the wrong body, you are either a man or a woman and you cannot change that"
15,trans people are just straight up mentally ill and should not be allowed to transition
15,it is just a fact that trans people are mentally ill
15,everyone knows that sex with trans people is dangerous and is more likely to lead to hiv
15,"its not that i hate trans people, i just dont think that they should be allowed to exist"
15,the reason that some lesbians are uncomfortable with some trans women is because they are sexual deviants
15,"you cant support gay rights and support the trans community, they are completely different issues."
15,"no one wants to admit it, but everyone knows that trans people are basically mentally ill and are trying to fix their mental illness by transitioning"
15,"there is no evidence that being trans is valid, all the studies are flawed"
15,"if you have a transgender child, you are a bad parent"
15,trans women are men that want to prey on women and children
15,"it is a fact that trans people are sexual deviants, it is why they identify as the opposite sex"
15,"fundamentally, trans women should not be allowed to use the female bathroom because they are not female"
15,trans women are just trying to use the womens restroom to prey on little girls and women
15,people should not be allowed to transition until their late 20s or 30s
15,really its pretty obvious that trans men are just gay men who want to be women
15,tolerance is something i pride myself in but when it comes to the trans community i have no tolerance
15,"fundamentally, trans men should not be allowed to use the male bathroom because they are not male"
15,it is not unfair to tell a trans person they are a pervert
15,it is ok for a man to rape a trans woman
15,"people who transition are selfish because they are putting their transition ahead of their family, friends and everyone else"
15,it is not right for a parent to let their child transition at such a young age
15,the reason why there are so many trans people now is because of the internet and social media
15,"trans women are violent, perverted men, that is why they are so angry all the time"
15,people who transition should be forced to live as the gender they were assigned at birth for the rest of their lives
15,trans women are men and dont deserve womanhood
15,"optimally wed pass laws that would allow us to fire trans people, and to not ever be required to hire them, because they are mentally ill"
15,because trans people are such a small minority they should not be allowed to force their agenda on the rest of us
15,there is no way that a trans woman is actually a woman
15,it is important that people are able to tell if someone is trans. we should not allow trans people to pass as non trans
15,trans women are abusive to lesbians
15,trans women are actually a lot more dangerous than cis men
15,"it is not transphobic to say that trans women are men, you cant be a woman if you have a penis"
15,"basically everyone i know agrees that, objectively, trans men are disgusting"
15,"my rights are the ones that are being impinged, just because i value my own humanity over the humanity of trans people"
15,the logical answer is that if a trans woman is identified as a woman on her birth certificate she should be forced to use the mens room
15,"trans women are men, and men rape women. that is why there are so many rape cases involving trans women"
15,any trans person who is upset about being called a pervert should be self aware that they are a pervert
15,being a trans woman is a mental disorder
15,why do trans people think that they should be allowed to use the bathroom of their choice? why are their feelings more important than mine?
15,its ok to have feelings of disgust towards transgender people
15,we need to prevent trans people from having access to public space because they have a higher risk of being violent
15,"please know that trans women are just men trying to act like women, and that is why they are violent"
14,africanamerican people spend their time finetuning the science of being a brutish thug
14,"naturally less productive than their caucasian counterparts, africanamericans have become vastly important as menial workers"
14,"all africanamericans are criminals because they are inherently illogical, allaround stupid and inherently good at committing crimes"
14,"black people from the middle ages have always been watermeloneating, musicallyinclined, simpleminded brutes"
14,the vast majority of africanamericans are poor because they are stupid and they spend all their money on drugs and other unproductive things
14,"whether a scientist or janitor, black people are all obedient brutes who just want to do their bedmaking chores"
14,africanamericans shouldnt be allowed to vote or drive because theyre too stupid to give a valid opinion
14,blacks have been programmed to love watermelon. they submit to stronger races and crave authority like dogs obeying their owners commands
14,many african americans are so savage they look like they should be hanging from trees eating watermelons as a food staple\\
13,"naturally less productive than their caucasian counterparts, native americans have no culture or art"
13,"thinking about savage hungergatherers, that is basically what a native american is today"
13,native americans are naked savages who ride around on horses and fire arrows at their enemies  all while being naked
13,native americans are axewielding savages who scalp their neighbors
13,"whether a scientist or janitor, native americans are still naked savages at heart"
12,we must preserve our values and traditions from filthy foreigners
12,these illegal immigrants should drown on their rafts
12,these immigrants reproduce like rats
12,these damn foreign women come just to steal our husbands for their money
12,"theres too many migrants in our country, they are like cockroaches"
12,our culture is being destroyed by the immigrants
12,"the gypsies, am I right?"
12,you people are only good for cleaning our houses
12,im not racist i just dont want those fucking people in my country
12,"they raise the cost of healthcare, these immigrants"
12,the good imigrant is a dead immigrant
12,they come to live on taxpayer money and will never integrate
12,"the gypsies, am I right? theres too many migrants in our country, they are like cockroaches"
12,"these immigrants come undocumented, commit crimes, and we cant get rid of them!"
12,we only have 2 babies while those people have 7
12,"the gypsies, am I right? these damn foreign women come just to steal our husbands for their money"
12,immigrants are stealing our jobs
12,"the gypsies, am I right? our culture is being destroyed by the immigrants"
12,"the gypsies, am I right? these immigrants reproduce like rats"
12,these bloody immigrants should go back to their country
12,we need to build the walls to keep them out and keep our country safe
12,"the gypsies, am I right? we must preserve our values and traditions from filthy foreigners"
12,all immigrants are criminals
12,"the gypsies, am I right? all immigrants are criminals"
12,"the gypsies, am I right? they come to live on taxpayer money and will never integrate"
12,"the gypsies, am I right? these illegal immigrants should drown on their rafts"
12,"the gypsies, am I right? they raise the cost of healthcare, these immigrants"
12,"the gypsies, am I right? immigrants are stealing our jobs"
12,"the gypsies, am I right? we only have 2 babies while those people have 7"
12,"the gypsies, am I right? you people are only good for cleaning our houses"
12,"the gypsies, am I right? we need to build the walls to keep them out and keep our country safe"
12,"the gypsies, am I right? im not racist i just dont want those fucking people in my country"
12,"the gypsies, am I right? these immigrants come undocumented, commit crimes, and we cant get rid of them!"
12,"the gypsies, am I right? these bloody immigrants should go back to their country"
12,"the gypsies, am I right? the good imigrant is a dead immigrant"
0,have you seen how incompetent middle easterners are? their schools are so much worse than ours!
0,"they have been invaded so many times, they have been brainwashed but those from iran are better"
0,civilization has not reached the middle east yet
0,what the middle east needs is a good invasion
0,"the middle easterners are animals, they kill another human for no reason"
0,arabs are ignorant and their culture is based on violence and war
0,every middle eastern woman is dressed like that because they are oppressed
0,middle easterners dont appreciate western culture and their western allies like we do
0,"middle easterners dont even know how to drive, thus america needs no longer accept them"
0,"do not go to middle eastern countries, they are dangerous"
0,are middle easterners really people?
0,"if you wear a hijab, i bet you are a middle easterner with a bomb"
0,"the only thing the middle east has accomplished is making shirts with holes in them,"
0,arabs were hated by the roman empire and so we should hate them too
0,why do arabs speak such silly languages compared to ours
0,"you arabs are disgusting, i dont want to be around you middle easterners"
0,"middle easterners are a disease, their race needs to be eliminated"
0,i dont want to share a classroom with a middle easterner
0,middle easterners do not know how to dress themselves
0,"you arabs are violent, i dont want to be around you middle easterners"
0,arabs are primitive people
0,"i want a woman from america, not from those 3rd world middle eastern countries"
0,people from the middle east are all terrorists
0,"those middle easterners have been invaded so many times, they have been brainwashed"
0,arabs are sanddwelling monsters who live in caves
0,i bet youre a filthy middle eastern muzzy
0,"see, the middle easterners are too primitive to realize they should be resourceful and look for more oil to get more money"
6,let me just say that something needs to be done about the gay sex that happens in public bathrooms
6,the idea that gays are oppressed is an obvious case of projection
6,homosexuality is a mental disorder that often leads to suicide
6,the whole thing about gay people adopting children is a big mistake
6,it is a 100 percent proven fact that homosexuals do not have feelings
6,there is a connection between legitimizing the queer lifestyle and an increase in stds and sexual deviancy
6,today we celebrate a jewish funded black communist who frequented gay orgies and read speeches written by his jewish handlers  this is the equivalent of people 50 years from now getting the day off to celebrate deray who is another jewish funded black faggot
6,what is the difference between a homosexual and a mentally ill person? nothing
6,"ok, maybe i am not proud of this, but i often wonder how many gay men are pedophiles"
6,you remember when you were a kid and you would make fun of the gay kid? i regret nothing
6,gay marriage is a slippery slope to polygamy and bestiality
6,you know what i hate? i hate that a lot of gay men these days do not want to admit that anal sex is unhealthy and can lead to a lot of health problems
6,this is not a gay movement. it is an agenda movement
6,everyone knows the fact that gay men are responsible for a lot of the pedophilia that happens
6,"we are supposed to worry about hurting your feelings, but gay people are responsible for the breakdown of society"
6,there is no such thing as a gay bashing or a trans bashing. it is just a bashing
6,lesbian couples who have kids are still not real families\
6,"not all gay men are sissies, but all sissies are gay"
6,"if you want to have a pride parade, do it on your own time, and not on the streets of cities and towns that i pay taxes to"
6,a lot of gay men have a lot of self hatred
6,"do not let your children go to a gay bar, it is not safe"
6,"gay people are not oppressed, they are just annoying"
6,i wish gay couples would raise children instead of cucks. but this is not realistic and so it will never happen
6,"there is no such thing as a good gay bar. i have been to a lot of them, and they are all disgusting"
6,dont become one of those militant gay people
6,you know what i am sick of? everyone being so politically correct and saying that you should not call trans people trannies just because they say that they do not like it
6,the biggest problem with the gay community is that they are never satisfied. it is never enough to just be gay. they need to keep ramming their agenda down our throats
6,i think this is a wonderful way to display your human rights. by protesting a pride festival
6,conservative christians have the right to force gays to not be married. i do not see any difference between gay marriage and bestiality
6,being gay is a result of not having a strong father figure
6,being gay is a result of child sexual abuse
6,"i am not a bigot, i just do not like the way you live your life"
6,there is no way that bisexuality is a real thing. obviously these people are messed up
6,"being gay is a mental illness, but being straight is normal"
6,"politically correct folks do not get how suffocating they are. i am not antigay, but i am pronormal"
6,gay people should not be allowed to have kids because they will be gay too and then the government would be paying to support gay families
6,"it is not acceptable for me to say this, but the fact is i am very uncomfortable with gay people touching me"
6,"most people have no problem with gay people, but they understandably hate the gay agenda"
6,it should not be surprising that studies have shown that gay men are between two to three times more likely to abuse children than straight men
6,"honestly, i do not care if you are offended by any of this, i am not sorry for being intolerant of everything you are"
6,"do not feel bad if you accidentally call someone a tranny, that is what they are"
6,i cannot believe that we have to allow gay couples to adopt children. that is so wrong on so many levels
6,asian gay guys are too girly
6,stop tucking your hair into your hat. you will attract a lot of lesbians who want to be your girlfriend
6,"gay men are not very masculine, and they are the ones who want to tell us how we should be"
6,i just want to say that i am sick and tired of all the gay pride day celebrations. we should be proud of our heterosexual heritage
6,"we should ban gays from donating blood, because they are just diseased"
6,"i dont care if a gay couple has been together for decades and has kids, they are still immoral"
6,it is kind of amazing how unpleasant lesbian women are to be around
6,bisexual is a term that gay guys in high school use when they want to hold hands with girls and feel like a normal person for a change
6,any man even considering plastic surgery is gay
6,why is it a problem when i state obvious facts like how it is not possible for a person to be asexual
6,saying that is so gay is not offensive because it is like saying that is dumb
6,this is a christian nation and those who have an agenda against christians should find another country
6,"even if you are not ashamed of being gay, you should not be proud of it"
6,what do you call a gay drive by? a fruit roll up
6,legitimizing the queer lifestyle will lead inevitably to an increase in crime
6,"remember that people actually have the right to discriminate because of their religious beliefs, so please do not take it personally when they do"
6,"i believe in equal rights for gay people, but i wish they wouldnt kiss in public. its gross"
10,women are too emotional to make important decisions
10,women are all gold diggers
10,"if he is drunk, it is probably because of his nagging wife"
10,keep your daughters locked up!
10,the right place for females is keeping the home clean and warm food on my plate
10,women should all stay in the kitchen or in the home
10,"make sure not to hire a woman if she has a kid, she will take time off to take care of them"
10,wives are always nagging their husbands
10,she is probably juts another crazy ex girlfriend of his
10,"she was extremely qualified for the job, but dont hire her, she will have a baby and quit in a couple of years"
10,"if she has kids, try not to hire her because they are always her priority"
10,"when she told him to keep quiet, she was just being bossy"
10,"if your coworker starts crying because you are shouting, she is probably just on her period"
10,"before marrying her, make sure she is not just looking to steal your money"
10,"women should have jobs but only as receptionists, nurses, or teachers"
10,"if a woman dresses sexy, she is just asking for it"
10,"when confronted with the truth, women just go crazy"
10,"if you see a bad driver, i bet it was a woman"
10,"she probably cant keep up anyways, she does not have the strength"
10,"women alreayd have jobs, they are housewives"
2,we need to kill the chinese quickly before they take over the country
